control,cve_ent,nom_ent,cve_mun,nom_mun,cve_ageb,cve_mza,terrenos,sup_total,cve_concat,shape_leng,shape_area,cont_clave,abejas,asnos,aves,bovinos,caprinos,conejos,equinos,iguana,machosmlas,ovinos,porcinos,p_total
07118002-1027,7,Chiapas,118,San Andrés Duraznal,002-1,27,101,405.8685,118_002-1_027,11030.2546323,4049900.35045,118_002-1_027,,,4,,,,,,,,,4
07092003-8040,7,Chiapas,92,Tecpatán,003-8,40,4,28.9916,092_003-8_040,4544.94640698,289529.545116,092_003-8_040,,,2,,,,,,,,,2
07005002-8001,7,Chiapas,5,Amatán,002-8,1,104,1628.4375,005_002-8_001,19363.4371732,16262914.833,005_002-8_001,,,,15,,,,,,,,15
07061008-4036,7,Chiapas,61,Ocozocoautla de Espinosa,008-4,36,7,127.4052,061_008-4_036,4571.69161084,1270834.84823,061_008-4_036,,,,4,,,,,,,,4
07096006-0001,7,Chiapas,96,Tila,006-0,1,345,6656.3004,096_006-0_001,34471.3322228,66501317.1116,096_006-0_001,,,,17,,,,,,,,17
07061021-A003,7,Chiapas,61,Ocozocoautla de Espinosa,021-A,3,8,390.7392,061_021-A_003,14564.0037723,3890636.65706,061_021-A_003,,,,2,,,,,,,,2
07092009-5004,7,Chiapas,92,Tecpatán,009-5,4,98,850.6196,092_009-5_004,13978.8938993,8896940.21734,092_009-5_004,,,,60,,,,,,,,60
07050001-9006,7,Chiapas,50,La Libertad,001-9,6,26,1008.3299,050_001-9_006,19911.4644361,10086086.3269,050_001-9_006,,,,12,,,,,,,,12
07087003-8008,7,Chiapas,87,Suchiate,003-8,8,36,183.1711,087_003-8_008,5549.59343824,1807711.1185,087_003-8_008,,,,3,,,,,,,,3
07069024-1006,7,Chiapas,69,Pijijiapan,024-1,6,75,1041.0256,069_024-1_006,18364.947392,10916066.4066,069_024-1_006,,,3,68,,,,,,,,71
07042001-7009,7,Chiapas,42,Ixhuatán,001-7,9,4,341.6409,042_001-7_009,8260.25372992,3410861.68437,042_001-7_009,,,,1,,,,,,,,1
07052020-6010,7,Chiapas,52,Las Margaritas,020-6,10,51,639.5238,052_020-6_010,11820.8123037,6364149.26841,052_020-6_010,,,1,,,,,,,,,1
07077013-5014,7,Chiapas,77,Salto de Agua,013-5,14,58,490.0876,077_013-5_014,13375.1502625,4893747.50451,077_013-5_014,,,,2,,,,,,,,2
07077006-5015,7,Chiapas,77,Salto de Agua,006-5,15,9,38.0554,077_006-5_015,2581.13752976,380274.084048,077_006-5_015,,,,6,,,,,,,,6
07013004-9020,7,Chiapas,13,Bochil,004-9,20,81,50.8307,013_004-9_020,3824.42669016,510122.213145,013_004-9_020,,,,52,,,,,,,,52
07100001-2001,7,Chiapas,100,Tumbalá,001-2,1,657,2893.2902,100_001-2_001,35880.0870517,29376114.9489,100_001-2_001,,,,3,,,,,,,1,4
07107050-7003,7,Chiapas,107,Villa Corzo,050-7,3,15,336.132,107_050-7_003,9319.54262802,3342164.14986,107_050-7_003,,,,9,,,,,,,,9
07051011-A008,7,Chiapas,51,Mapastepec,011-A,8,10,105.8129,051_011-A_008,4411.3839662,1048185.6345,051_011-A_008,,,1,7,,,,,,,,8
07065005-A005,7,Chiapas,65,Palenque,005-A,5,73,652.1093,065_005-A_005,11438.176018,6818622.5481,065_005-A_005,,,16,12,,,,,,6,6,40
07004009-2004,7,Chiapas,4,Altamirano,009-2,4,30,2760.1465,004_009-2_004,38814.2475855,27496425.3264,004_009-2_004,,,,1,,,,,,,,1
07069013-3012,7,Chiapas,69,Pijijiapan,013-3,12,55,3292.3358,069_013-3_012,23017.5211566,32625532.9875,069_013-3_012,,,,53,,,,,,,,53
07048006-3004,7,Chiapas,48,Juárez,006-3,4,12,494.5423,048_006-3_004,13058.6376098,4944878.28949,048_006-3_004,,,,11,,,,,,,,11
07107023-A004,7,Chiapas,107,Villa Corzo,023-A,4,5,668.7479,107_023-A_004,16040.9769593,6642813.25665,107_023-A_004,,,,3,,,,,,,,3
07069011-4024,7,Chiapas,69,Pijijiapan,011-4,24,18,180.3222,069_011-4_024,5892.34217197,1794669.24494,069_011-4_024,,,,17,,,,,,,1,18
07068002-8005,7,Chiapas,68,Pichucalco,002-8,5,8,1521.5069,068_002-8_005,25111.7615315,15210863.7212,068_002-8_005,,,,4,,,,,,,1,5
07039003-0018,7,Chiapas,39,Huitiupán,003-0,18,91,1692.6244,039_003-0_018,22476.9702626,16897589.0234,039_003-0_018,,,,24,,,,,,,,24
07107022-5005,7,Chiapas,107,Villa Corzo,022-5,5,32,740.5994,107_022-5_005,15993.0304827,7357007.6037,107_022-5_005,,,,3,,,,,,,,3
07065011-5010,7,Chiapas,65,Palenque,011-5,10,22,356.104,065_011-5_010,8875.49287521,3560016.90662,065_011-5_010,,,,19,,,,,,,2,21
07107012-1007,7,Chiapas,107,Villa Corzo,012-1,7,27,1637.5954,107_012-1_007,25371.0333044,16277809.7551,107_012-1_007,,,,19,,,,,,,,19
07115006-8004,7,Chiapas,115,Maravilla Tenejapa,006-8,4,44,335.984,115_006-8_004,9758.39895255,3341544.31714,115_006-8_004,,,1,,,,,,,,,1
07021002-1009,7,Chiapas,21,Copainalá,002-1,9,46,501.2627,021_002-1_009,12679.0311735,5002501.97411,021_002-1_009,,,,10,,,,,,,,10
07027008-2009,7,Chiapas,27,Chiapa de Corzo,008-2,9,33,55.7938,027_008-2_009,4181.29801656,574204.43221,027_008-2_009,,,,1,,,,,,,,1
07001004-8010,7,Chiapas,1,Acacoyagua,004-8,10,199,1398.9391,001_004-8_010,19483.8744071,15159524.3343,001_004-8_010,,,,65,,,,,,,,65
07097017-6010,7,Chiapas,97,Tonalá,017-6,10,116,450.7084,097_017-6_010,11466.2870951,5555895.41259,097_017-6_010,,,2,74,,,,,,,,76
07013004-9005,7,Chiapas,13,Bochil,004-9,5,30,206.5879,013_004-9_005,5985.98631217,2211752.41237,013_004-9_005,,,,14,,,,,,,,14
07040006-5011,7,Chiapas,40,Huixtla,006-5,11,14,380.3248,040_006-5_011,9991.61188174,3762694.75041,040_006-5_011,,,,11,,,,,,,,11
07102002-1016,7,Chiapas,102,Tuxtla Chico,002-1,16,61,295.1041,102_002-1_016,8342.45480397,2916359.20159,102_002-1_016,,,,32,,,,,,,1,33
07004009-2012,7,Chiapas,4,Altamirano,009-2,12,134,50.1324,004_009-2_012,3896.8085282,499476.973092,004_009-2_012,,,,5,,,,,,,,5
07077009-9012,7,Chiapas,77,Salto de Agua,009-9,12,202,1290.8172,077_009-9_012,20636.8198238,13175950.8145,077_009-9_012,,,4,110,,,,,,,18,132
07107012-1013,7,Chiapas,107,Villa Corzo,012-1,13,3,41.8981,107_012-1_013,3476.27974479,416394.973658,107_012-1_013,,,,3,,,,,,,,3
07047002-8035,7,Chiapas,47,Jitotol,002-8,35,23,42.5955,047_002-8_035,4424.55262824,425011.467188,047_002-8_035,,,,1,,,,,,,,1
07108013-3016,7,Chiapas,108,Villaflores,013-3,16,83,178.664,108_013-3_016,6633.27251449,1787585.22537,108_013-3_016,,,,8,,,,,,,,8
07027003-A015,7,Chiapas,27,Chiapa de Corzo,003-A,15,75,85.6901,027_003-A_015,8944.71993512,960731.134808,027_003-A_015,,,,44,,,,,,,,44
07051007-3015,7,Chiapas,51,Mapastepec,007-3,15,69,729.5891,051_007-3_015,19149.3220366,8033818.44232,051_007-3_015,,,,27,,,,,,,,27
07071004-2008,7,Chiapas,71,Villa Comaltitlán,004-2,8,89,430.0765,071_004-2_008,9325.1594395,4539985.78893,071_004-2_008,,,,15,,,,,,2,,17
07034009-1006,7,Chiapas,34,Frontera Comalapa,009-1,6,70,3593.023,034_009-1_006,31182.6859559,35618109.7429,034_009-1_006,,,1,23,,,,,,,,24
07017021-1017,7,Chiapas,17,Cintalapa,021-1,17,7,539.0255,017_021-1_017,12067.2741165,5368163.20055,017_021-1_017,,,,2,,,,,,,,2
07051012-4018,7,Chiapas,51,Mapastepec,012-4,18,22,938.4893,051_012-4_018,14603.471718,9293686.37025,051_012-4_018,,,,10,,,,,,1,,11
07097015-7029,7,Chiapas,97,Tonalá,015-7,29,27,150.8055,097_015-7_029,12397.6968016,1567633.72042,097_015-7_029,,,,14,,,,,,,,14
07077008-4027,7,Chiapas,77,Salto de Agua,008-4,27,17,93.4557,077_008-4_027,4086.58259105,965761.803234,077_008-4_027,,,,2,,,,,,,,2
07047002-8030,7,Chiapas,47,Jitotol,002-8,30,104,355.911,047_002-8_030,7862.61367684,3550703.51652,047_002-8_030,,,,9,,,,,,,,9
07077006-5001,7,Chiapas,77,Salto de Agua,006-5,1,121,2022.4468,077_006-5_001,30284.3049016,20413452.6563,077_006-5_001,,,,11,,,,,,,,11
07067004-A003,7,Chiapas,67,Pantepec,004-A,3,37,242.1835,067_004-A_003,6929.63442895,2416881.43782,067_004-A_003,,,13,8,,,,,,,1,22
07019017-A001,7,Chiapas,19,Comitán de Domínguez,017-A,1,69,359.0975,019_017-A_001,8428.87695114,3571664.14866,019_017-A_001,,,,6,,,,,,,,6
07096005-6001,7,Chiapas,96,Tila,005-6,1,396,1262.0573,096_005-6_001,16069.2773776,13155889.6228,096_005-6_001,,,,34,,,,,,,,34
07074004-4002,7,Chiapas,74,Reforma,004-4,2,64,1205.6715,074_004-4_002,19703.5353858,12061467.9314,074_004-4_002,,,7,49,,,,,,3,1,60
07042002-1007,7,Chiapas,42,Ixhuatán,002-1,7,6,26.9464,042_002-1_007,2901.45815029,480366.111539,042_002-1_007,,,,6,,,,,,,,6
07089027-8003,7,Chiapas,89,Tapachula,027-8,3,9,1015.0951,089_027-8_003,23321.841006,10030022.3469,089_027-8_003,,,,5,,,,,,,,5
07003005-7005,7,Chiapas,3,Acapetahua,005-7,5,28,146.6952,003_005-7_005,6138.76597089,1487867.12267,003_005-7_005,,,1,1,,,,,,,,2
07017013-7005,7,Chiapas,17,Cintalapa,013-7,5,171,1285.2985,017_013-7_005,18661.9252615,13538786.5113,017_013-7_005,,,,106,,,,,,,,106
07019019-9005,7,Chiapas,19,Comitán de Domínguez,019-9,5,64,411.6358,019_019-9_005,10132.3879685,5153187.94252,019_019-9_005,,,7,5,,,,,,,,12
07017009-0008,7,Chiapas,17,Cintalapa,009-0,8,80,1036.9333,017_009-0_008,15397.1447323,10337755.7744,017_009-0_008,,,6,43,,,,,,,,49
07081005-3009,7,Chiapas,81,Simojovel,005-3,9,139,687.8399,081_005-3_009,15001.3211207,6863991.46311,081_005-3_009,,,,1,,,,,,,,1
07021002-1016,7,Chiapas,21,Copainalá,002-1,16,4,155.142,021_002-1_016,6262.88736438,1548039.50535,021_002-1_016,,,,4,,,,,,,,4
07040006-5016,7,Chiapas,40,Huixtla,006-5,16,68,405.4664,040_006-5_016,9715.67941862,4010200.46196,040_006-5_016,,,5,32,,,,,,,,37
07077005-0018,7,Chiapas,77,Salto de Agua,005-0,18,17,134.075,077_005-0_018,5714.31777044,1339878.37905,077_005-0_018,,,,6,,,,,,,,6
07037004-0019,7,Chiapas,37,Huehuetán,004-0,19,10,168.5337,037_004-0_019,6622.92171405,1665763.64948,037_004-0_019,,,,6,,,,,,,,6
07061008-4035,7,Chiapas,61,Ocozocoautla de Espinosa,008-4,35,29,142.5128,061_008-4_035,6906.51878623,1421546.10103,061_008-4_035,,,2,22,,,,,,1,1,26
07062001-A017,7,Chiapas,62,Ostuacán,001-A,17,67,843.5551,062_001-A_017,23598.4920625,8586188.48129,062_001-A_017,,,,64,,,,,,,,64
07046010-5020,7,Chiapas,46,Jiquipilas,010-5,20,14,74.0909,046_010-5_020,4061.95863714,737427.951217,046_010-5_020,,,,6,,,,,,,,6
07108013-3022,7,Chiapas,108,Villaflores,013-3,22,253,198.105,108_013-3_022,7307.36647044,2028502.73543,108_013-3_022,,,,,,,,,,2,,2
07079002-1024,7,Chiapas,79,San Fernando,002-1,24,30,115.4607,079_002-1_024,4571.43305194,1151533.85517,079_002-1_024,,,,8,,,,,,,,8
07069002-5040,7,Chiapas,69,Pijijiapan,002-5,40,20,121.0345,069_002-5_040,4394.21718316,1200936.23599,069_002-5_040,,,1,8,,,,,,,1,10
07059027-9001,7,Chiapas,59,Ocosingo,027-9,1,66,848.2976,059_027-9_001,20548.1637476,8462498.9453,059_027-9_001,,,1,7,,,,,,,,8
07097021-2001,7,Chiapas,97,Tonalá,021-2,1,38,3014.4558,097_021-2_001,29781.150891,29915357.2676,097_021-2_001,,,,37,,,,,,,,37
07065011-5008,7,Chiapas,65,Palenque,011-5,8,19,1222.6744,065_011-5_008,27999.7994846,12223670.9637,065_011-5_008,,,,15,,,,,,,,15
07048004-4006,7,Chiapas,48,Juárez,004-4,6,4,579.1999,048_004-4_006,21326.372036,5791546.36159,048_004-4_006,,,,1,,,,,,,,1
07016006-A009,7,Chiapas,16,Catazajá,006-A,9,5,336.2925,016_006-A_009,8015.54220717,3363381.67242,016_006-A_009,,,,5,,,,,,,,5
07092017-A006,7,Chiapas,92,Tecpatán,017-A,6,11,44.5421,092_017-A_006,5326.48504355,524583.05011,092_017-A_006,,,,8,,,,,,,,8
07086003-0003,7,Chiapas,86,Suchiapa,003-0,3,61,531.1436,086_003-0_003,16857.9951734,5298618.92573,086_003-0_003,,,,1,,,,,,,,1
07065023-8004,7,Chiapas,65,Palenque,023-8,4,86,3155.2462,065_023-8_004,34130.4805831,31515751.4876,065_023-8_004,,,,1,,,,,,,,1
07018002-6005,7,Chiapas,18,Coapilla,002-6,5,232,1856.7295,018_002-6_005,22626.5329614,18938143.7931,018_002-6_005,,,,23,,,,,,,,23
07065027-6006,7,Chiapas,65,Palenque,027-6,6,388,2491.835,065_027-6_006,25899.4260497,25534717.8749,065_027-6_006,,,,30,,,,,,,,30
07017009-0007,7,Chiapas,17,Cintalapa,009-0,7,5,1163.9089,017_009-0_007,21817.2209798,11604304.2324,017_009-0_007,,,,3,,,,,,,,3
07108023-7012,7,Chiapas,108,Villaflores,023-7,12,21,104.1891,108_023-7_012,5686.47604553,1045076.19707,108_023-7_012,,,3,2,,,,,,,1,6
07099024-0013,7,Chiapas,99,La Trinitaria,024-0,13,115,298.9277,099_024-0_013,7632.17104614,2988986.32697,099_024-0_013,,,,3,,,,,,1,,4
07051014-3014,7,Chiapas,51,Mapastepec,014-3,14,24,2463.0356,051_014-3_014,34878.0829317,24421551.9177,051_014-3_014,,,1,10,,,,,,,,11
07065009-8003,7,Chiapas,65,Palenque,009-8,3,43,268.9506,065_009-8_003,7208.24602206,2871842.01649,065_009-8_003,,,2,29,,,,,,,,31
07020008-1007,7,Chiapas,20,La Concordia,008-1,7,73,2198.3157,020_008-1_007,22921.9589067,21837684.4291,020_008-1_007,,,,5,,,,,,,,5
07108010-A014,7,Chiapas,108,Villaflores,010-A,14,92,274.9497,108_010-A_014,13955.4022093,2744135.88053,108_010-A_014,,,,12,,,,,,,,12
07003005-7017,7,Chiapas,3,Acapetahua,005-7,17,29,325.3653,003_005-7_017,11425.466542,3315065.35305,003_005-7_017,,,,20,,,,,,,,20
07059028-3023,7,Chiapas,59,Ocosingo,028-3,23,213,1352.1624,059_028-3_023,23971.7801779,13845563.8263,059_028-3_023,,,1,26,,,,,,,,27
07059041-9002,7,Chiapas,59,Ocosingo,041-9,2,64,1012.6393,059_041-9_002,25634.3095516,10154282.5498,059_041-9_002,,,,5,,,,,,,,5
07062010-9002,7,Chiapas,62,Ostuacán,010-9,2,9,709.6689,062_010-9_002,12433.5178859,7093027.50553,062_010-9_002,,,,4,,,,,,,,4
07077002-7002,7,Chiapas,77,Salto de Agua,002-7,2,4,229.3725,077_002-7_002,7602.51363112,2293424.62034,077_002-7_002,,,,4,,,,,,,,4
07114013-0002,7,Chiapas,114,Benemérito de las Américas,013-0,2,244,4997.3674,114_013-0_002,40376.4705346,50303834.5376,114_013-0_002,,,,192,,,,,,,,192
07038002-9005,7,Chiapas,38,Huixtán,002-9,5,462,1242.4302,038_002-9_005,23151.1211111,12378008.7672,038_002-9_005,,,2,,,,,,,,,2
07065002-6007,7,Chiapas,65,Palenque,002-6,7,8,1266.7382,065_002-6_007,19848.4389232,12673103.7621,065_002-6_007,,,,6,,,,,,,,6
07077003-1010,7,Chiapas,77,Salto de Agua,003-1,10,8,535.6397,077_003-1_010,10969.7214147,5353786.07175,077_003-1_010,,,,3,,,,,,1,,4
07065005-A011,7,Chiapas,65,Palenque,005-A,11,5,785.509,065_005-A_011,13673.7211707,7855488.83806,065_005-A_011,,,,2,,,,,,,,2
07072003-5012,7,Chiapas,72,Pueblo Nuevo Solistahuacán,003-5,12,15,126.3735,072_003-5_012,7963.51249903,1261406.78686,072_003-5_012,,,12,1,,,,,,,,13
07065021-9018,7,Chiapas,65,Palenque,021-9,18,39,187.4081,065_021-9_018,5677.36853639,1872833.72194,065_021-9_018,,,2,3,,,,,,,,5
07050003-8015,7,Chiapas,50,La Libertad,003-8,15,12,1238.107,050_003-8_015,17430.6105917,12378772.9302,050_003-8_015,,,,7,,,,,,,,7
07071002-3014,7,Chiapas,71,Villa Comaltitlán,002-3,14,189,928.0638,071_002-3_014,17911.6997866,9457726.00405,071_002-3_014,,,3,92,,,,,,4,2,101
07092003-8014,7,Chiapas,92,Tecpatán,003-8,14,63,927.983,092_003-8_014,17745.9558394,9268177.83346,092_003-8_014,,,2,47,,,,,,,,49
07084001-7016,7,Chiapas,84,Solosuchiapa,001-7,16,1,2.3266,084_001-7_016,607.769936242,23241.0264255,084_001-7_016,,,,1,,,,,,,,1
07047002-8020,7,Chiapas,47,Jitotol,002-8,20,172,79.6818,047_002-8_020,4085.37933838,864957.492136,047_002-8_020,,,,7,,,,,,,,7
07027007-8031,7,Chiapas,27,Chiapa de Corzo,007-8,31,24,342.8971,027_007-8_031,14674.4972908,3414825.54262,027_007-8_031,,,,9,,,,,,,,9
07027008-2034,7,Chiapas,27,Chiapa de Corzo,008-2,34,56,183.3381,027_008-2_034,11432.8419992,1853016.86129,027_008-2_034,,,,2,,,,,,,,2
07046015-8007,7,Chiapas,46,Jiquipilas,015-8,7,25,80.5569,046_015-8_007,6442.12575679,801502.654098,046_015-8_007,,,,14,,,,,,,1,15
07089029-7001,7,Chiapas,89,Tapachula,029-7,1,85,538.7127,089_029-7_001,12305.2749003,5320455.75644,089_029-7_001,,,,3,,,,,,1,,4
07051010-5002,7,Chiapas,51,Mapastepec,010-5,2,9,721.7637,051_010-5_002,11608.0522965,7150627.15618,051_010-5_002,,,,9,,,,,,,,9
07054006-0003,7,Chiapas,54,Mazatán,006-0,3,6,431.4294,054_006-0_003,14356.7077836,4260854.93995,054_006-0_003,,,,1,,,,,,,,1
07020018-5006,7,Chiapas,20,La Concordia,018-5,6,36,1930.0032,020_018-5_006,19939.6515372,19161367.2993,020_018-5_006,,,,2,,,,,,,,2
07102003-6010,7,Chiapas,102,Tuxtla Chico,003-6,10,48,302.0195,102_003-6_010,13122.6030435,3056327.54966,102_003-6_010,,,,21,,,,,,,,21
07020008-1008,7,Chiapas,20,La Concordia,008-1,8,45,491.4315,020_008-1_008,18394.5253526,4882040.60188,020_008-1_008,,,,2,,,,,,,,2
07020018-5009,7,Chiapas,20,La Concordia,018-5,9,3,3054.9994,020_018-5_009,28220.5004886,30327883.3312,020_018-5_009,,,,1,,,,,,,,1
07018002-6014,7,Chiapas,18,Coapilla,002-6,14,22,44.9212,018_002-6_014,3430.29307517,448225.823737,018_002-6_014,,,,2,,,,,,,,2
07009005-0018,7,Chiapas,9,Arriaga,005-0,18,18,394.0396,009_005-0_018,11400.1580095,3939789.05508,009_005-0_018,,,,6,,,,,,,,6
07051014-3007,7,Chiapas,51,Mapastepec,014-3,7,27,137.1548,051_014-3_007,6001.23533899,1372755.26322,051_014-3_007,,,2,17,,,,,,,1,20
07079006-A018,7,Chiapas,79,San Fernando,006-A,18,171,503.8839,079_006-A_018,10586.6509241,5064874.45471,079_006-A_018,2,,,47,,,,,,1,,50
07081005-3018,7,Chiapas,81,Simojovel,005-3,18,81,542.5218,081_005-3_018,17311.8248867,5413361.38065,081_005-3_018,,,,1,,,,,,,,1
07077008-4020,7,Chiapas,77,Salto de Agua,008-4,20,203,83.1164,077_008-4_020,3756.13739718,830269.548332,077_008-4_020,,,,1,,,,,,,,1
07039004-5022,7,Chiapas,39,Huitiupán,004-5,22,119,303.7118,039_004-5_022,7427.80316761,3176822.6015,039_004-5_022,,,,39,,,,,,,,39
07031010-2001,7,Chiapas,31,Chilón,010-2,1,126,644.7304,031_010-2_001,11825.8953503,6434116.40545,031_010-2_001,,,,15,,,,,,,,15
07065030-8023,7,Chiapas,65,Palenque,030-8,23,128,1197.6032,065_030-8_023,23614.713223,11957402.2975,065_030-8_023,,,,5,,,,,,,,5
07077013-5023,7,Chiapas,77,Salto de Agua,013-5,23,64,132.7248,077_013-5_023,4676.2962686,1325494.40652,077_013-5_023,,,,3,,,,,,,,3
07025001-6001,7,Chiapas,25,Chapultenango,001-6,1,93,1886.2581,025_001-6_001,20967.3189929,18919903.3477,025_001-6_001,,,3,11,,,,,,,,14
07083006-2004,7,Chiapas,83,Socoltenango,006-2,4,193,213.9666,083_006-2_004,6099.48780103,2126475.65405,083_006-2_004,,,,8,,,,,,,,8
07050008-0002,7,Chiapas,50,La Libertad,008-0,2,2,331.9372,050_008-0_002,10882.2873402,3319806.21923,050_008-0_002,,,,1,,,,,,,,1
07017019-4003,7,Chiapas,17,Cintalapa,019-4,3,8,318.8449,017_019-4_003,8201.67782934,3176811.90204,017_019-4_003,,,1,2,,,,,,,,3
07100004-6003,7,Chiapas,100,Tumbalá,004-6,3,875,1083.3518,100_004-6_003,14519.3315539,12023451.1355,100_004-6_003,,,,364,,,,,,,,364
07108011-4003,7,Chiapas,108,Villaflores,011-4,3,7,966.7353,108_011-4_003,19852.7048222,9620906.55925,108_011-4_003,,,,4,,,,,,,,4
07077003-1004,7,Chiapas,77,Salto de Agua,003-1,4,25,876.3683,077_003-1_004,20301.6568204,8762035.13964,077_003-1_004,,,,20,,,,,,,,20
07030003-5006,7,Chiapas,30,Chicomuselo,003-5,6,109,357.1034,030_003-5_006,24939.5565818,14758161.7322,030_003-5_006,,,,6,,,,,,,,6
07107007-0007,7,Chiapas,107,Villa Corzo,007-0,7,40,566.4233,107_007-0_007,10242.0248675,5631475.70446,107_007-0_007,,,,2,,,,,,,,2
07020006-2020,7,Chiapas,20,La Concordia,006-2,20,20,256.3962,020_006-2_020,6316.96350513,2549318.98507,020_006-2_020,,,,6,,,,,,,,6
07046008-8006,7,Chiapas,46,Jiquipilas,008-8,6,516,3188.9777,046_008-8_006,29674.3547551,33064764.274,046_008-8_006,,,3,214,,,,,,,,217
07107010-2007,7,Chiapas,107,Villa Corzo,010-2,7,2,92.0458,107_010-2_007,3987.78333648,914956.588557,107_010-2_007,,,,1,,,,,,,,1
07065014-9010,7,Chiapas,65,Palenque,014-9,10,12,1210.3571,065_014-9_010,15024.5848576,12097140.3514,065_014-9_010,,,,11,,,,,,,,11
07019015-0010,7,Chiapas,19,Comitán de Domínguez,015-0,10,82,202.6753,019_015-0_010,5680.0279125,2016030.48287,019_015-0_010,,,,3,,,,,,,,3
07097016-1011,7,Chiapas,97,Tonalá,016-1,11,12,1245.1951,097_016-1_011,19566.7897626,12363580.2822,097_016-1_011,,,,12,,,,,,,,12
07065013-4014,7,Chiapas,65,Palenque,013-4,14,37,1469.7781,065_013-4_014,23966.2941439,14689484.1605,065_013-4_014,,,,18,,,,,,,,18
07108016-7014,7,Chiapas,108,Villaflores,016-7,14,54,173.4573,108_016-7_014,8783.61226481,1777899.99107,108_016-7_014,,,,31,,,,,,,,31
07069002-5028,7,Chiapas,69,Pijijiapan,002-5,28,22,58.6818,069_002-5_028,3541.02724593,633756.960346,069_002-5_028,,,1,6,,,,,,,,7
07048005-9006,7,Chiapas,48,Juárez,005-9,6,5,844.2919,048_005-9_006,15423.1274,8442323.24525,048_005-9_006,,,,3,,,,,,,,3
07019017-A015,7,Chiapas,19,Comitán de Domínguez,017-A,15,104,480.5134,019_017-A_015,18605.3189157,4777294.62668,019_017-A_015,,,,2,,,,,,,,2
07062003-9020,7,Chiapas,62,Ostuacán,003-9,20,6,627.387,062_003-9_020,13513.7549349,6268216.70871,062_003-9_020,,,,2,,,,,,,,2
07039004-5025,7,Chiapas,39,Huitiupán,004-5,25,39,148.707,039_004-5_025,6339.99631284,1484383.82824,039_004-5_025,,,,3,,,,,,,,3
07061013-5016,7,Chiapas,61,Ocozocoautla de Espinosa,013-5,16,70,166.8741,061_013-5_016,8349.4618189,1712606.57017,061_013-5_016,,,,11,,,,,,,,11
07052037-1002,7,Chiapas,52,Las Margaritas,037-1,2,92,2257.3819,052_037-1_002,24904.966351,22455400.4159,052_037-1_002,,,,30,,,,,,,,30
07102002-1017,7,Chiapas,102,Tuxtla Chico,002-1,17,232,383.6463,102_002-1_017,11707.046794,3791383.58744,102_002-1_017,,,1,5,,,,,,,,6
07107012-1001,7,Chiapas,107,Villa Corzo,012-1,1,4,385.8399,107_012-1_001,10552.2493155,3835984.51553,107_012-1_001,,,,3,,,,,,,,3
07031009-A001,7,Chiapas,31,Chilón,009-A,1,113,7104.5408,031_009-A_001,39138.3970898,70931259.6584,031_009-A_001,,,,31,,,,,,,,31
07108012-9001,7,Chiapas,108,Villaflores,012-9,1,14,173.2612,108_012-9_001,6028.58833498,1724322.35329,108_012-9_001,,,,1,,,,,,,,1
07099014-7002,7,Chiapas,99,La Trinitaria,014-7,2,172,776.3331,099_014-7_002,21449.2678265,7712309.49032,099_014-7_002,,,,11,,,,,,5,,16
07088001-6005,7,Chiapas,88,Sunuapa,001-6,5,15,524.0358,088_001-6_005,12645.0562553,5236300.98265,088_001-6_005,,,2,11,,,,,,,,13
07057003-9007,7,Chiapas,57,Motozintla,003-9,7,36,520.2977,057_003-9_007,9944.94423447,5151791.9352,057_003-9_007,,,,2,,,,,,,,2
07065030-8007,7,Chiapas,65,Palenque,030-8,7,21,532.9934,065_030-8_007,13925.5780569,5323602.3457,065_030-8_007,,,,7,,,,,,,,7
07107013-6008,7,Chiapas,107,Villa Corzo,013-6,8,41,250.5663,107_013-6_008,6753.8873328,2497613.42513,107_013-6_008,,,,11,,,,,,,,11
07059042-3020,7,Chiapas,59,Ocosingo,042-3,20,30,80.331,059_042-3_020,4989.64788273,800962.786345,059_042-3_020,,,,7,,,,,,,,7
07048006-3010,7,Chiapas,48,Juárez,006-3,10,24,629.9357,048_006-3_010,16062.728654,6297765.55138,048_006-3_010,,,,20,,,,,,,,20
07108012-9010,7,Chiapas,108,Villaflores,012-9,10,28,1261.2463,108_012-9_010,17578.8516509,12547684.3899,108_012-9_010,,,,11,,,,,,,,11
07020019-A011,7,Chiapas,20,La Concordia,019-A,11,9,1177.9396,020_019-A_011,16012.0706788,11695665.262,020_019-A_011,,,,9,,,,,,,,9
07065013-4011,7,Chiapas,65,Palenque,013-4,11,34,858.0674,065_013-4_011,12365.2325712,8576603.83317,065_013-4_011,,,,20,,,,,,,,20
07071004-2024,7,Chiapas,71,Villa Comaltitlán,004-2,24,91,168.5625,071_004-2_024,5767.94660058,1832780.77273,071_004-2_024,,,,1,,,,,,,,1
07092007-6005,7,Chiapas,92,Tecpatán,007-6,5,12,192.1848,092_007-6_005,8316.62186263,1918819.25065,092_007-6_005,,,,6,,,,,,,,6
07089027-8002,7,Chiapas,89,Tapachula,027-8,2,288,1546.3597,089_027-8_002,26788.5923726,16759093.5997,089_027-8_002,,,,10,,,,,,,,10
07002005-A017,7,Chiapas,2,Acala,005-A,17,93,92.7429,002_005-A_017,3906.84826003,932492.42874,002_005-A_017,,,,1,,,,,,,,1
07087003-8019,7,Chiapas,87,Suchiate,003-8,19,50,8.1693,087_003-8_019,1295.68117885,80602.4130916,087_003-8_019,,,,1,,,,,,,,1
